Quarter,Community Drinking Water Systems,TTHM-System Means (mcg/L),Population Served
1999 Apr-Jun,ALAMOGORDO DOMESTIC WATER SYSTEM,31,"37,290"
1999 Jul-Sep,ALAMOGORDO DOMESTIC WATER SYSTEM,48.4,"37,290"
1999 Oct-Dec,ALAMOGORDO DOMESTIC WATER SYSTEM,31.7,"37,290"
2000 Jan-Mar,ALAMOGORDO DOMESTIC WATER SYSTEM,19.6,"37,290"
2000 Apr-Jun,ALAMOGORDO DOMESTIC WATER SYSTEM,19.6,"37,290"
2000 Jul-Sep,ALAMOGORDO DOMESTIC WATER SYSTEM,23.2,"37,290"
2000 Oct-Dec,ALAMOGORDO DOMESTIC WATER SYSTEM,15.5,"37,290"
2001 Jan-Mar,ALAMOGORDO DOMESTIC WATER SYSTEM,20.2,"37,290"
2001 Apr-Jun,ALAMOGORDO DOMESTIC WATER SYSTEM,20.2,"37,290"
2001 Jul-Sep,ALAMOGORDO DOMESTIC WATER SYSTEM,20.2,"37,290"
2001 Oct-Dec,ALAMOGORDO DOMESTIC WATER SYSTEM,20.2,"37,290"
2002 Jan-Mar,ALAMOGORDO DOMESTIC WATER SYSTEM,0.4,"37,290"
2002 Apr-Jun,ALAMOGORDO DOMESTIC WATER SYSTEM,0.4,"37,290"
2002 Jul-Sep,ALAMOGORDO DOMESTIC WATER SYSTEM,0.4,"37,290"
2002 Oct-Dec,ALAMOGORDO DOMESTIC WATER SYSTEM,0.4,"37,290"
2003 Jan-Mar,ALAMOGORDO DOMESTIC WATER SYSTEM,0.4,"37,290"
2003 Apr-Jun,ALAMOGORDO DOMESTIC WATER SYSTEM,0.4,"37,290"
2003 Jul-Sep,ALAMOGORDO DOMESTIC WATER SYSTEM,21.9,"37,290"
2003 Oct-Dec,ALAMOGORDO DOMESTIC WATER SYSTEM,21.9,"37,290"
2004 Jan-Mar,ALAMOGORDO DOMESTIC WATER SYSTEM,21.9,"37,290"
2004 Apr-Jun,ALAMOGORDO DOMESTIC WATER SYSTEM,19.2,"37,290"
2004 Jul-Sep,ALAMOGORDO DOMESTIC WATER SYSTEM,28,"37,290"
2004 Oct-Dec,ALAMOGORDO DOMESTIC WATER SYSTEM,30.2,"37,290"
2005 Jan-Mar,ALAMOGORDO DOMESTIC WATER SYSTEM,36.9,"37,290"
2005 Apr-Jun,ALAMOGORDO DOMESTIC WATER SYSTEM,35.3,"37,290"
2005 Jul-Sep,ALAMOGORDO DOMESTIC WATER SYSTEM,42.4,"37,290"
2005 Oct-Dec,ALAMOGORDO DOMESTIC WATER SYSTEM,27.9,"37,290"
2006 Jan-Mar,ALAMOGORDO DOMESTIC WATER SYSTEM,20.7,"37,290"
2006 Apr-Jun,ALAMOGORDO DOMESTIC WATER SYSTEM,19.4,"37,290"
2006 Jul-Sep,ALAMOGORDO DOMESTIC WATER SYSTEM,49.4,"37,290"
2006 Oct-Dec,ALAMOGORDO DOMESTIC WATER SYSTEM,43.2,"37,290"
2007 Jan-Mar,ALAMOGORDO DOMESTIC WATER SYSTEM,46.8,"37,290"
2007 Apr-Jun,ALAMOGORDO DOMESTIC WATER SYSTEM,29.6,"37,290"
2007 Jul-Sep,ALAMOGORDO DOMESTIC WATER SYSTEM,47.6,"37,290"
2007 Oct-Dec,ALAMOGORDO DOMESTIC WATER SYSTEM,36.9,"37,290"
2008 Jan-Mar,ALAMOGORDO DOMESTIC WATER SYSTEM,36,"37,290"
2008 Apr-Jun,ALAMOGORDO DOMESTIC WATER SYSTEM,31.5,"37,290"
2008 Jul-Sep,ALAMOGORDO DOMESTIC WATER SYSTEM,64.8,"37,290"
2008 Oct-Dec,ALAMOGORDO DOMESTIC WATER SYSTEM,43.2,"37,290"
2009 Jan-Mar,ALAMOGORDO DOMESTIC WATER SYSTEM,31.8,"37,290"
2009 Apr-Jun,ALAMOGORDO DOMESTIC WATER SYSTEM,51.2,"37,290"
2009 Jul-Sep,ALAMOGORDO DOMESTIC WATER SYSTEM,44.5,"37,290"
2009 Oct-Dec,ALAMOGORDO DOMESTIC WATER SYSTEM,44.5,"37,290"
2010 Jan-Mar,ALAMOGORDO DOMESTIC WATER SYSTEM,25.7,"37,290"
2010 Apr-Jun,ALAMOGORDO DOMESTIC WATER SYSTEM,39.8,"37,290"
2010 Jul-Sep,ALAMOGORDO DOMESTIC WATER SYSTEM,38.1,"37,290"
2010 Oct-Dec,ALAMOGORDO DOMESTIC WATER SYSTEM,37.8,"37,290"
2011 Jan-Mar,ALAMOGORDO DOMESTIC WATER SYSTEM,21.1,"37,290"
2011 Apr-Jun,ALAMOGORDO DOMESTIC WATER SYSTEM,31.8,"37,290"
2011 Jul-Sep,ALAMOGORDO DOMESTIC WATER SYSTEM,42.2,"37,290"
2011 Oct-Dec,ALAMOGORDO DOMESTIC WATER SYSTEM,25.4,"37,290"
2012 Jan-Mar,ALAMOGORDO DOMESTIC WATER SYSTEM,24.9,"38,500"
2012 Apr-Jun,ALAMOGORDO DOMESTIC WATER SYSTEM,35.5,"38,500"
2012 Jul-Sep,ALAMOGORDO DOMESTIC WATER SYSTEM,30.2,"38,500"
2012 Oct-Dec,ALAMOGORDO DOMESTIC WATER SYSTEM,24.2,"38,500"
2013 Jan-Mar,ALAMOGORDO DOMESTIC WATER SYSTEM,23.8,"38,500"
2013 Apr-Jun,ALAMOGORDO DOMESTIC WATER SYSTEM,35.8,"38,500"
2013 Jul-Sep,ALAMOGORDO DOMESTIC WATER SYSTEM,47.2,"38,500"
2013 Oct-Dec,ALAMOGORDO DOMESTIC WATER SYSTEM,38.5,"38,500"
2014 Jan-Mar,ALAMOGORDO DOMESTIC WATER SYSTEM,26.5,"38,500"
2014 Apr-Jun,ALAMOGORDO DOMESTIC WATER SYSTEM,25,"38,500"
2014 Jul-Sep,ALAMOGORDO DOMESTIC WATER SYSTEM,27.2,"38,500"
2014 Oct-Dec,ALAMOGORDO DOMESTIC WATER SYSTEM,46.5,"38,500"
2015 Jan-Mar,ALAMOGORDO DOMESTIC WATER SYSTEM,30,"38,500"
2015 Apr-Jun,ALAMOGORDO DOMESTIC WATER SYSTEM,33.2,"38,500"
2015 Jul-Sep,ALAMOGORDO DOMESTIC WATER SYSTEM,27.8,"38,500"
2015 Oct-Dec,ALAMOGORDO DOMESTIC WATER SYSTEM,34,"38,500"
2016 Jan-Mar,ALAMOGORDO DOMESTIC WATER SYSTEM,40.2,"38,500"
2016 Apr-Jun,ALAMOGORDO DOMESTIC WATER SYSTEM,32.5,"38,500"
2016 Jul-Sep,ALAMOGORDO DOMESTIC WATER SYSTEM,25.2,"38,500"
2016 Oct-Dec,ALAMOGORDO DOMESTIC WATER SYSTEM,34,"38,500"
2017 Jan-Mar,ALAMOGORDO DOMESTIC WATER SYSTEM,21.5,"38,500"
2017 Apr-Jun,ALAMOGORDO DOMESTIC WATER SYSTEM,25.5,"38,500"
2017 Jul-Sep,ALAMOGORDO DOMESTIC WATER SYSTEM,32,"38,500"
2017 Oct-Dec,ALAMOGORDO DOMESTIC WATER SYSTEM,30.5,"38,500"
2018 Jan-Mar,ALAMOGORDO DOMESTIC WATER SYSTEM,17,"35,629"
2018 Apr-Jun,ALAMOGORDO DOMESTIC WATER SYSTEM,21.1,"35,629"
2018 Jul-Sep,ALAMOGORDO DOMESTIC WATER SYSTEM,17.3,"35,629"
2018 Oct-Dec,ALAMOGORDO DOMESTIC WATER SYSTEM,26.6,"35,629"
2019 Jan-Mar,ALAMOGORDO DOMESTIC WATER SYSTEM,40,"35,629"
2019 Apr-Jun,ALAMOGORDO DOMESTIC WATER SYSTEM,28.5,"35,629"
2019 Jul-Sep,ALAMOGORDO DOMESTIC WATER SYSTEM,21.9,"35,629"
2019 Oct-Dec,ALAMOGORDO DOMESTIC WATER SYSTEM,29,"35,629"
2020 Jan-Mar,ALAMOGORDO DOMESTIC WATER SYSTEM,39.2,"35,629"
2020 Apr-Jun,ALAMOGORDO DOMESTIC WATER SYSTEM,31.6,"35,629"
2020 Jul-Sep,ALAMOGORDO DOMESTIC WATER SYSTEM,26.8,"35,629"
2020 Oct-Dec,ALAMOGORDO DOMESTIC WATER SYSTEM,40,"35,629"
2021 Jan-Mar,ALAMOGORDO DOMESTIC WATER SYSTEM,37.2,"36,828"
2021 Apr-Jun,ALAMOGORDO DOMESTIC WATER SYSTEM,37.8,"36,828"
2021 Jul-Sep,ALAMOGORDO DOMESTIC WATER SYSTEM,41.2,"36,828"
2021 Oct-Dec,ALAMOGORDO DOMESTIC WATER SYSTEM,53.8,"36,828"
2022 Jan-Mar,ALAMOGORDO DOMESTIC WATER SYSTEM,42.5,"36,828"
2022 Apr-Jun,ALAMOGORDO DOMESTIC WATER SYSTEM,42.5,"36,828"
2022 Jul-Sep,ALAMOGORDO DOMESTIC WATER SYSTEM,39,"36,828"
2022 Oct-Dec,ALAMOGORDO DOMESTIC WATER SYSTEM,20.9,"36,828"
